,baseline-ext-R1,baseline-ext-R2,baseline-ext-RL,bert-base-ext-zs-R1,bert-base-ext-zs-R2,bert-base-ext-zs-RL,t5-small-ext-zs-R1,t5-small-ext-zs-R2,t5-small-ext-zs-RL,gpt-3.5-ext-zs-R1,gpt-3.5-ext-zs-R2,gpt-3.5-ext-zs-RL,gpt-4-ext-zs-R1,gpt-4-ext-zs-R2,gpt-4-ext-zs-RL,bert-base-ext-ft-R1,bert-base-ext-ft-R2,bert-base-ext-ft-RL,gpt35-ext-ft-R1,gpt35-ext-ft-R2,gpt35-ext-ft-RL,gpt40-ext-ft-R1,gpt40-ext-ft-R2,gpt40-ext-ft-RL
33,0.3230,0.0503,0.1242,0.3057,0.0774,0.1401,0.2326,0.0476,0.1628,0.3478,0.0882,0.2174,0.3057,0.0387,0.1274,0.3232,0.0412,0.2020,0.2857,0.0674,0.1758,0.1935,0.0000,0.1290
34,0.4379,0.2395,0.2604,0.3315,0.1117,0.2099,0.4466,0.2772,0.2136,0.2930,0.0645,0.2166,0.2747,0.0778,0.1538,0.3387,0.0984,0.2419,0.5049,0.1782,0.3107,0.3529,0.0600,0.1765
35,0.4096,0.1220,0.2410,0.2703,0.0548,0.1622,0.4000,0.1429,0.2200,0.3899,0.1401,0.2767,0.3333,0.0918,0.2020,0.4035,0.0893,0.2105,0.3670,0.0561,0.1835,0.4151,0.1538,0.2453
36,0.1899,0.1282,0.1772,0.3038,0.2179,0.2785,0.4051,0.2597,0.3544,0.3193,0.1880,0.2857,0.2556,0.1374,0.2105,0.5161,0.3736,0.4516,0.2821,0.1316,0.2051,0.3457,0.2278,0.3210
37,0.2749,0.1148,0.1517,0.2237,0.0133,0.1184,0.3607,0.1667,0.2623,0.3621,0.1826,0.2241,0.2531,0.0658,0.1143,0.3448,0.1930,0.2069,0.2479,0.0336,0.1818,0.2667,0.0339,0.1833
38,0.1739,0.0294,0.1014,0.2105,0.0000,0.1053,0.2222,0.0253,0.0741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2250,0.1282,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,0.2485,0.0240,0.1183,0.2368,0.0133,0.1184,0.2955,0.0233,0.1136,0.2969,0.0317,0.1563,0.2400,0.0405,0.1600,0.2549,0.0000,0.1373,0.2889,0.0227,0.1778,0.2766,0.0000,0.1277
40,0.3034,0.0682,0.1910,0.3617,0.0968,0.2128,0.3019,0.0577,0.2264,0.2887,0.0729,0.1959,0.1833,0.0252,0.1000,0.2982,0.0893,0.2456,0.2991,0.0381,0.1495,0.2857,0.0388,0.1524
41,0.3669,0.1198,0.2604,0.2097,0.0328,0.1452,0.2947,0.0430,0.2105,0.2877,0.0694,0.2192,0.2626,0.0408,0.1414,0.4103,0.1043,0.2735,0.3689,0.1188,0.3107,0.3434,0.1237,0.2222
42,0.3653,0.0737,0.1735,0.4400,0.2177,0.2960,0.2603,0.0694,0.1370,0.4550,0.1176,0.2751,0.4498,0.1256,0.2201,0.4366,0.2286,0.3239,0.3741,0.1022,0.1727,0.2878,0.0730,0.1583
43,0.3373,0.1341,0.2651,0.3802,0.1513,0.2810,0.2250,0.0769,0.2000,0.3597,0.1168,0.2302,0.3293,0.0988,0.2195,0.2887,0.0842,0.2062,0.3333,0.0682,0.2667,0.3333,0.0909,0.2667
44,0.3864,0.2558,0.2727,0.0791,0.0000,0.0678,0.2333,0.0690,0.2000,0.1678,0.0426,0.1119,0.1034,0.0435,0.0690,0.1319,0.0225,0.1099,0.2564,0.1316,0.2308,0.1538,0.0263,0.1538
45,0.4476,0.2979,0.2238,0.5333,0.3107,0.2667,0.4211,0.2432,0.3158,0.4000,0.1563,0.2462,0.3206,0.0930,0.1832,0.4835,0.2921,0.2857,0.5778,0.3636,0.3556,0.5000,0.2326,0.2273
46,0.3556,0.2022,0.2556,0.1961,0.0461,0.1373,0.1190,0.0000,0.0952,0.1872,0.0199,0.1182,0.1868,0.0222,0.1209,0.5517,0.4035,0.5000,0.3469,0.0417,0.2041,0.3125,0.0638,0.1667
47,0.3542,0.1263,0.1979,0.3085,0.0503,0.1791,0.1942,0.0396,0.1553,0.2577,0.0313,0.1237,0.2404,0.0331,0.1202,0.3304,0.0708,0.1565,0.3009,0.0901,0.1593,0.2414,0.0526,0.1552
48,0.3371,0.1250,0.2022,0.1497,0.0361,0.0898,0.2558,0.0476,0.1163,0.3024,0.1281,0.1951,0.2431,0.0791,0.1255,0.3333,0.1600,0.2157,0.3182,0.0698,0.1364,0.3636,0.0698,0.1818
49,0.5574,0.3204,0.2842,0.4419,0.1529,0.1977,0.4952,0.2136,0.3429,0.4130,0.1319,0.2500,0.3602,0.1148,0.1991,0.6119,0.2879,0.4030,0.4538,0.2051,0.2689,0.4696,0.2478,0.2435
50,0.5176,0.2976,0.3882,0.2685,0.1121,0.1944,0.5161,0.2637,0.3871,0.3041,0.0237,0.1404,0.2709,0.0723,0.1833,0.5424,0.2069,0.3898,0.3636,0.0619,0.2222,0.4490,0.2500,0.3673
51,0.2767,0.0510,0.1509,0.3377,0.0921,0.2208,0.2308,0.0263,0.1538,0.4370,0.1709,0.3361,0.3012,0.0976,0.2289,0.2245,0.0208,0.1224,0.2062,0.0000,0.1237,0.2609,0.0667,0.1522
52,0.4280,0.2407,0.2305,0.3968,0.1959,0.1862,0.3190,0.1366,0.1595,0.3628,0.1339,0.2124,0.4093,0.1479,0.2471,0.3448,0.1395,0.1724,0.3165,0.1154,0.2405,0.3975,0.2264,0.2360
53,0.4335,0.2886,0.3153,0.5455,0.4000,0.4697,0.3621,0.2105,0.2931,0.4108,0.1967,0.2703,0.4103,0.1762,0.2462,0.5345,0.2982,0.3793,0.5345,0.4035,0.4655,0.4833,0.4068,0.4333
54,0.2420,0.0645,0.1274,0.2439,0.0496,0.1463,0.1714,0.0583,0.1524,0.4317,0.2482,0.3309,0.3563,0.1628,0.2299,0.2376,0.1414,0.2178,0.3091,0.0926,0.2364,0.2456,0.0893,0.1754
55,0.2137,0.0465,0.1527,0.1639,0.0221,0.1093,0.2785,0.0519,0.2278,0.2029,0.0294,0.1014,0.2147,0.0914,0.1356,0.1798,0.0460,0.1348,0.2353,0.0482,0.2118,0.2022,0.0460,0.1348
56,0.3277,0.1600,0.2260,0.2804,0.0952,0.2056,0.2697,0.0690,0.2247,0.3967,0.2185,0.2479,0.2967,0.1000,0.1209,0.3696,0.1556,0.2609,0.4138,0.1647,0.2759,0.3043,0.0667,0.1957
57,0.2031,0.0635,0.1563,0.1400,0.0303,0.0800,0.2059,0.0303,0.1176,0.1442,0.0291,0.1154,0.1875,0.0421,0.1354,0.2821,0.0526,0.2051,0.2683,0.0750,0.2195,0.2785,0.0000,0.2025
58,0.5385,0.3111,0.3297,0.3661,0.2389,0.2508,0.4762,0.3065,0.4127,0.4242,0.2653,0.2828,0.3930,0.2555,0.2795,0.5000,0.3559,0.4500,0.4673,0.2095,0.3551,0.6545,0.4259,0.3091
59,0.4474,0.1239,0.2018,0.3636,0.0986,0.1678,0.4247,0.1250,0.1918,0.3980,0.1106,0.1891,0.4034,0.1732,0.2146,0.4662,0.1374,0.2256,0.4627,0.1061,0.2239,0.4511,0.1221,0.2256
60,0.5359,0.3709,0.4706,0.2989,0.1279,0.2299,0.4048,0.2927,0.3571,0.4354,0.1931,0.3129,0.2774,0.1037,0.2190,0.5545,0.3434,0.4950,0.5859,0.3711,0.4848,0.4946,0.2857,0.3441
61,0.4094,0.2959,0.2690,0.1863,0.0563,0.1180,0.5495,0.4494,0.3956,0.3268,0.1325,0.2092,0.1624,0.0446,0.1107,0.5179,0.3818,0.3750,0.4860,0.3238,0.3551,0.3019,0.1538,0.1509
62,0.3889,0.1236,0.2111,0.1711,0.0066,0.0921,0.2667,0.0227,0.1556,0.2796,0.0326,0.1505,0.2162,0.0091,0.1081,0.3962,0.1154,0.2075,0.3469,0.0625,0.2245,0.3878,0.1042,0.2857
63,0.4795,0.2361,0.3014,0.2764,0.1148,0.1626,0.4231,0.1373,0.2308,0.3687,0.0678,0.2235,0.3448,0.1047,0.2069,0.3964,0.1284,0.3063,0.5361,0.2526,0.3299,0.4706,0.2200,0.2157
64,0.2989,0.1512,0.1839,0.2537,0.0758,0.1642,0.1944,0.0571,0.1111,0.3333,0.0923,0.1667,0.2235,0.0678,0.1453,0.3111,0.0909,0.2000,0.2921,0.1149,0.2022,0.4270,0.2529,0.2921
65,0.3396,0.1146,0.2264,0.2516,0.0510,0.1887,0.3820,0.1839,0.3596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3889,0.1132,0.2963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,0.3121,0.1988,0.2890,0.3179,0.2013,0.2781,0.4706,0.3133,0.4235,0.2260,0.0343,0.1469,0.2553,0.0719,0.1702,0.5833,0.3830,0.4375,0.2316,0.0430,0.1895,0.4444,0.3182,0.3556
67,0.3175,0.1604,0.2434,0.4430,0.2177,0.3221,0.4361,0.1985,0.3158,0.3963,0.1767,0.2120,0.3819,0.1421,0.2211,0.5455,0.2689,0.4132,0.3636,0.1296,0.1818,0.3273,0.1481,0.1818
68,0.3942,0.2519,0.3212,0.4225,0.2029,0.3099,0.4096,0.1975,0.3373,0.3497,0.1277,0.2517,0.3571,0.1014,0.2429,0.5361,0.3579,0.2887,0.3556,0.1136,0.2222,0.4368,0.2118,0.2759
69,0.5439,0.2954,0.2594,0.4201,0.1388,0.1818,0.4353,0.2143,0.2471,0.4275,0.1241,0.1957,0.5417,0.2308,0.2569,0.3933,0.1136,0.2472,0.4444,0.2249,0.2339,0.4260,0.2036,0.2130
70,0.3676,0.1967,0.2378,0.1735,0.0737,0.1187,0.2796,0.0659,0.2151,0.2514,0.1272,0.1829,0.1991,0.0574,0.1232,0.5600,0.2449,0.3200,0.3400,0.1633,0.2600,0.3871,0.1319,0.2151
71,0.2970,0.1010,0.2178,0.3179,0.1208,0.2252,0.2391,0.0222,0.1304,0.3137,0.0662,0.2092,0.2235,0.0339,0.1229,0.2692,0.0784,0.2308,0.2718,0.0396,0.2136,0.2772,0.0606,0.2178
72,0.3169,0.0773,0.1530,0.2733,0.0755,0.1491,0.3200,0.0816,0.1400,0.3500,0.1139,0.1750,0.3240,0.0904,0.1676,0.2342,0.0367,0.0901,0.4762,0.1942,0.2667,0.3962,0.0962,0.1698
73,0.3949,0.1677,0.2293,0.2817,0.0143,0.1268,0.4894,0.2826,0.3617,0.3409,0.1379,0.2045,0.2823,0.0894,0.1694,0.5800,0.3673,0.4400,0.3529,0.1200,0.1765,0.3505,0.1684,0.2268
74,0.2890,0.1053,0.1618,0.2060,0.0519,0.1116,0.2430,0.1333,0.2056,0.1754,0.0118,0.1053,0.2222,0.0748,0.1111,0.2927,0.0826,0.1626,0.3486,0.1495,0.2202,0.3148,0.0943,0.1667
75,0.2308,0.0649,0.1667,0.1701,0.0274,0.1020,0.1205,0.0000,0.0964,0.2604,0.1078,0.1657,0.2000,0.0202,0.1600,0.3889,0.2075,0.2778,0.3333,0.0909,0.1778,0.3478,0.0889,0.2391
76,0.2826,0.1209,0.2174,0.2890,0.0819,0.1965,0.4412,0.2121,0.3235,0.2857,0.0921,0.2078,0.2527,0.0778,0.1648,0.3696,0.1111,0.2391,0.4444,0.1772,0.2716,0.4235,0.1687,0.2353
77,0.2581,0.0984,0.1452,0.2353,0.0513,0.2017,0.2989,0.0706,0.1609,0.2774,0.0741,0.2190,0.3086,0.0750,0.1728,0.3095,0.0976,0.2143,0.2759,0.1412,0.1609,0.2857,0.1348,0.1758
